NDVI,GNDVI,SAVI,RVI,EVI,label,label_str
0.7310514,0.63468444,0.46498102,6.4363637,0.52177453,1,Sehat
0.72115386,0.65980875,0.43227667,6.172414,0.44533506,1,Sehat
0.7549407,0.64940786,0.50663126,7.16129,0.59685165,1,Sehat
0.7882589,0.65229493,0.52448255,8.445498,0.61603016,1,Sehat
0.65441906,0.5570094,0.53713095,4.7873564,0.8056564,1,Sehat
0.71718127,0.63107234,0.49383318,6.071667,0.5426951,1,Sehat
0.7118645,0.64830685,0.34239134,5.9411764,0.34532374,1,Sehat
0.7068112,0.63144857,0.48669264,5.8215437,0.54634553,1,Sehat
0.7201252,0.5758502,0.52879024,6.1460505,0.78889656,1,Sehat
0.7756608,0.68611485,0.5310903,7.9150743,0.5845718,1,Sehat
0.5041698,0.49285176,0.33409625,3.0336392,0.3655989,1,Sehat
0.80667907,0.6955421,0.5939822,9.345493,0.7328886,1,Sehat
0.7501697,0.6539778,0.5279223,7.005435,0.62269896,1,Sehat
0.691492,0.63894325,0.45848674,5.4828153,0.50364083,1,Sehat
0.7764737,0.6860759,0.4990856,7.947494,0.545274,1,Sehat
0.75958836,0.64711034,0.52522635,7.319066,0.61266834,1,Sehat
0.57548684,0.51668394,0.4559309,3.7112794,0.6446125,1,Sehat
0.6713637,0.57777303,0.47138304,5.085754,0.51933897,1,Sehat
0.6131216,0.54244465,0.3995589,4.169583,0.45224106,1,Sehat
0.7604535,0.6731028,0.5229611,7.349112,0.5732654,1,Sehat
0.7989031,0.6972833,0.5593003,8.945455,0.68063235,1,Sehat
0.76657534,0.64489794,0.6010024,7.5680747,0.7783753,1,Sehat
0.79218584,0.68172807,0.5779661,8.623983,0.6932175,1,Sehat
0.76221,0.6851226,0.54314965,7.4107804,0.6333089,1,Sehat
0.7602495,0.6631579,0.5394182,7.342007,0.599101,1,Sehat
0.72496986,0.62592375,0.54231,6.2719293,0.6831356,1,Sehat
0.76880443,0.64597535,0.5795862,7.650685,0.6514811,1,Sehat
0.7242439,0.6482117,0.47618508,6.252788,0.54950607,1,Sehat
0.6973415,0.58215785,0.5171891,5.608108,0.59397316,1,Sehat
0.72550964,0.63833797,0.31215233,6.286232,0.3092805,1,Sehat
0.70002204,0.6000828,0.5001048,5.6671553,0.5838439,1,Sehat
0.76121074,0.65936095,0.4754902,7.3755875,0.53663164,1,Sehat
0.68821627,0.57705516,0.49605197,5.414702,0.67123586,1,Sehat
0.7753344,0.6634615,0.606914,7.902121,0.7370053,1,Sehat
0.8011141,0.69284475,0.5914999,9.056017,0.66412395,1,Sehat
0.69637144,0.5962843,0.44753093,5.586995,0.50161445,1,Sehat
0.7123394,0.58722717,0.5415269,5.952639,0.6565965,1,Sehat
0.8167539,0.7030674,0.6331658,9.914286,0.74245316,1,Sehat
0.6369947,0.58678013,0.4728228,4.5095615,0.5385625,1,Sehat
0.7729843,0.6701518,0.5663939,7.8099627,0.6487959,1,Sehat
0.807971,0.69260126,0.56839424,9.415094,0.64997995,1,Sehat
0.67150676,0.58761024,0.45989567,5.088406,0.52636486,1,Sehat
0.75754577,0.6185919,0.5079629,7.2489796,0.5948172,1,Sehat
0.7707007,0.6554658,0.54086846,7.7222223,0.6503628,1,Sehat
0.7785818,0.6924489,0.5294118,8.03268,0.5806383,1,Sehat
0.6846951,0.6080844,0.4775281,5.3430657,0.5251545,1,Sehat
0.73507303,0.6210743,0.52362955,6.5492487,0.5820551,1,Sehat
0.63307816,0.57332546,0.37513614,4.4507513,0.38534677,1,Sehat
0.7770203,0.62516046,0.58200663,7.9694247,0.74236566,1,Sehat
0.80309737,0.67937356,0.5719538,9.157303,0.6616843,1,Sehat
0.74467236,0.624629,0.5596747,6.8330736,0.67291766,1,Sehat
0.81383926,0.71579397,0.5768987,9.743405,0.65072286,1,Sehat
0.7131258,0.595966,0.39743587,5.9716983,0.44440696,1,Sehat
0.7606803,0.60058904,0.56700873,7.3570223,0.69889873,1,Sehat
0.80341214,0.69497085,0.61193144,9.17357,0.73786545,1,Sehat
0.62905115,0.58933336,0.4774748,4.391579,0.5450117,1,Sehat
0.79800963,0.6363637,0.6229619,8.90146,0.7363445,1,Sehat
0.7274558,0.6359398,0.5149963,6.3382597,0.5803699,1,Sehat
0.78054404,0.64866596,0.5439067,8.113445,0.6259706,1,Sehat
